"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2UW7WH77","journalArticle","2026","Rukmono, Satrio A.; Zamfirov, Filip; Ochoa, Lina; Pex, Floris; Chaudron, Michel R. V.","An explanation of software architecture explanations","Empirical Software Engineering","","1382-3256, 1573-7616","10.1007/s10664-025-10782-3","https://link.springer.com/10.1007/s10664-025-10782-3","","2026-05","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","59","","3","31","","Empir Software Eng","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7TXI94Z","journalArticle","2023","Ullah, Tahir; Khan, Javed Ali; Khan, Nek Dil; Yasin, Affan; Arshad, Hasna","Exploring and mining rationale information for low-rating software applications","Soft Computing","","1432-7643, 1433-7479","10.1007/s00500-023-09054-3","https://link.springer.com/10.1007/s00500-023-09054-3","","2023-08-05","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","","","","","","Soft Comput","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDWPPIVH","bookSection","2024","Adil, Mahum; Fronza, Ilenia; Sievi-Korte, Outi; Pahl, Claus","Are Architecture Design Decisions in Distributed Teams Supported by Tools?","Enterprise Information Systems","978-3-031-64747-5 978-3-031-64748-2","","10.1007/978-3-031-64748-2_17","https://link.springer.com/10.1007/978-3-031-64748-2_17","","2024","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","348-365","","","518","","","","","","","","Springer Nature Switzerland","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Business Information Processing DOI: 10.1007/978-3-031-64748-2_17","","","","","","Filipe, Joaquim; Śmiałek, Michał; Brodsky, Alexander; Hammoudi, Slimane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELE885AH","book","2024","","Enterprise Information Systems: 25th International Conference, ICEIS 2023, Prague, Czech Republic, April 24–26, 2023, Revised Selected Papers, Part I","","978-3-031-64747-5 978-3-031-64748-2","","10.1007/978-3-031-64748-2","https://link.springer.com/10.1007/978-3-031-64748-2","","2024","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","","","","518","","","Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","Springer Nature Switzerland","Cham","en","https://www.springernature.com/gp/researchers/text-and-data-mining","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-031-64748-2","","","","","","Filipe, Joaquim; Śmiałek, Michał; Brodsky, Alexander; Hammoudi, Slimane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZHWRJC5","bookSection","2024","Díaz-Pace, J. Andrés; Tommasel, Antonela; Capilla, Rafael","Helping Novice Architects to Make Quality Design Decisions Using an LLM-Based Assistant","Software Architecture","978-3-031-70796-4 978-3-031-70797-1","","10.1007/978-3-031-70797-1_21","https://link.springer.com/10.1007/978-3-031-70797-1_21","","2024","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","324-332","","","14889","","","","","","","","Springer Nature Switzerland","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-031-70797-1_21","","","","","","Galster, Matthias; Scandurra, Patrizia; Mikkonen, Tommi; Oliveira Antonino, Pablo; Nakagawa, Elisa Yumi; Navarro, Elena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SX8Q3MQQ","book","2024","","Software Architecture: 18th European Conference, ECSA 2024, Luxembourg City, Luxembourg, September 3–6, 2024, Proceedings","","978-3-031-70796-4 978-3-031-70797-1","","10.1007/978-3-031-70797-1","https://link.springer.com/10.1007/978-3-031-70797-1","","2024","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","","","","14889","","","Software Architecture","Lecture Notes in Computer Science","","","","Springer Nature Switzerland","Cham","en","https://www.springernature.com/gp/researchers/text-and-data-mining","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-031-70797-1","","","","","","Galster, Matthias; Scandurra, Patrizia; Mikkonen, Tommi; Oliveira Antonino, Pablo; Nakagawa, Elisa Yumi; Navarro, Elena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QX992MLK","bookSection","2026","Zabardast, Ehsan; Paudel, Bhuwan; Gonzalez-Huerta, Javier","Architecture Degradation at Scale: Challenges and Insights from Practice","Product-Focused Software Process Improvement","978-3-032-12088-5 978-3-032-12089-2","","10.1007/978-3-032-12089-2_30","https://link.springer.com/10.1007/978-3-032-12089-2_30","","2026","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","451-460","","","16361","","","Architecture Degradation at Scale","","","","","Springer Nature Switzerland","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-032-12089-2_30","","","","","","Scanniello, Giuseppe; Lenarduzzi, Valentina; Romano, Simone; Vegas, Sira; Francese, Rita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IW8VCQY2","book","2026","","Product-Focused Software Process Improvement: 26th International Conference, PROFES 2025, Salerno, Italy, December 1–3, 2025, Proceedings","","978-3-032-12088-5 978-3-032-12089-2","","10.1007/978-3-032-12089-2","https://link.springer.com/10.1007/978-3-032-12089-2","","2026","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","","","","16361","","","Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","Springer Nature Switzerland","Cham","en","https://www.springernature.com/gp/researchers/text-and-data-mining","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-032-12089-2","","","","","","Scanniello, Giuseppe; Lenarduzzi, Valentina; Romano, Simone; Vegas, Sira; Francese, Rita","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3SEVQ8B","bookSection","2026","Pegado, Antonio Monte; Camarinha-Matos, Luis M.; Rocha, Andre Dionisio","A Brief Survey on Human-AI Collaboration for Architecture Design of Industrial Systems","Hybrid Human-AI Collaborative Networks","978-3-032-05672-6 978-3-032-05673-3","","10.1007/978-3-032-05673-3_4","https://link.springer.com/10.1007/978-3-032-05673-3_4","","2026","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","55-74","","","770","","","","","","","","Springer Nature Switzerland","Cham","en","","","","","DOI.org (Crossref)","","Series Title: IFIP Advances in Information and Communication Technology DOI: 10.1007/978-3-032-05673-3_4","","","","","","Camarinha-Matos, Luis M.; Ortiz, Angel; Boucher, Xavier; Lucas Soares, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6F8UG5S","book","2026","","Hybrid Human-AI Collaborative Networks: 26th IFIP WG 5.5 SOCOLNET Working Conference on Virtual Enterprises, PRO-VE 2025, Porto, Portugal, October 27-29, 2025, Proceedings, Part I","","978-3-032-05672-6 978-3-032-05673-3","","10.1007/978-3-032-05673-3","https://link.springer.com/10.1007/978-3-032-05673-3","","2026","2026-02-18 20:21:38","2026-02-18 20:21:38","2026-02-18 20:21:38","","","","770","","","Hybrid Human-AI Collaborative Networks","IFIP Advances in Information and Communication Technology","","","","Springer Nature Switzerland","Cham","en","https://www.springernature.com/gp/researchers/text-and-data-mining","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-032-05673-3","","","","","","Camarinha-Matos, Luis M.; Ortiz, Angel; Boucher, Xavier; Lucas Soares, Antonio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
